"sex","year","agegroup","meanpop"
0,1981,0,32216
0,1981,1,32103.5
0,1981,2,32297.5
0,1981,3,32853.5
0,1981,4,33426
0,1981,5,33390
0,1981,6,32212
0,1981,7,30076.5
0,1981,8,29437
0,1981,9,30447
0,1981,10,31513
0,1981,11,32708
0,1981,12,34527.5
0,1981,13,36601.5
0,1981,14,37436.5
0,1981,15,37675
0,1981,16,38392.5
0,1981,17,39187
0,1981,18,39228.5
0,1981,19,38849.5
0,1981,20,38748.5
0,1981,21,38690
0,1981,22,38092.5
0,1981,23,38554
0,1981,24,40229.5
0,1981,25,40799.5
0,1981,26,40665
0,1981,27,40785
0,1981,28,41947
0,1981,29,42455.5
0,1981,30,42882.5
0,1981,31,44756
0,1981,32,46160
0,1981,33,46651
0,1981,34,46378.5
0,1981,35,43757.5
0,1981,36,37463
0,1981,37,32676.5
0,1981,38,28771.5
0,1981,39,31441
0,1981,40,31895
0,1981,41,28731.5
0,1981,42,30732
0,1981,43,29476.5
0,1981,44,27897
0,1981,45,27524.5
0,1981,46,27054.5
0,1981,47,25797
0,1981,48,25886
0,1981,49,27122.5
0,1981,50,27996.5
0,1981,51,27961
0,1981,52,27632.5
0,1981,53,26906
0,1981,54,26133
0,1981,55,25727
0,1981,56,24596
0,1981,57,23632
0,1981,58,22357
0,1981,59,21239
0,1981,60,21108
0,1981,61,18234.5
0,1981,62,16597.5
0,1981,63,17302
0,1981,64,16545
0,1981,65,16191.5
0,1981,66,16474.5
0,1981,67,16313.5
0,1981,68,16061
0,1981,69,15863
0,1981,70,14994
0,1981,71,14204
0,1981,72,13146
0,1981,73,11971
0,1981,74,10879.5
0,1981,75,9478.5
0,1981,76,8410
0,1981,77,7503.5
0,1981,78,6539
0,1981,79,5697
0,1981,80,4889.5
0,1981,81,4156.5
0,1981,82,3528
0,1981,83,2797
0,1981,84,2207.5
0,1981,85,1797.5
0,1981,86,1450
0,1981,87,1087
0,1981,88,832
0,1981,89,660.5
0,1981,90,469
0,1981,91,319.5
0,1981,92,232.5
0,1981,93,167
0,1981,94,119
0,1981,95,70
0,1981,96,37
0,1981,97,20.5
0,1981,98,10.5
0,1981,99,9.5
0,1981,100,6.5
1,1981,0,30742
1,1981,1,30839
1,1981,2,31030
1,1981,3,31341
1,1981,4,31892
1,1981,5,31714
1,1981,6,30771.5
1,1981,7,28720
1,1981,8,27728
1,1981,9,29045.5
1,1981,10,30383.5
1,1981,11,31310.5
1,1981,12,33066
1,1981,13,35113
1,1981,14,36059
1,1981,15,36373.5
1,1981,16,36862.5
1,1981,17,37590.5
1,1981,18,37560.5
1,1981,19,37130.5
1,1981,20,36950
1,1981,21,36866
1,1981,22,36357.5
1,1981,23,36661.5
1,1981,24,38160
1,1981,25,38728.5
1,1981,26,39050
1,1981,27,39166
1,1981,28,39638
1,1981,29,39837
1,1981,30,40154
1,1981,31,41772.5
1,1981,32,43262
1,1981,33,44048.5
1,1981,34,43756.5
1,1981,35,41203.5
1,1981,36,35372
1,1981,37,31075.5
1,1981,38,27499
1,1981,39,30322
1,1981,40,30958
1,1981,41,28320
1,1981,42,30169.5
1,1981,43,28871.5
1,1981,44,27589
